Username: player1
Created @ 2020-08-09T20:01:32.652162700
Password:  1234


__SIGN IN__ | @ 2020-08-09T20:01:32.784807900 | Message: No Message
__REPORT__ | @ 2020-08-09T20:25:51.979916600 | Message: Selected -> models.cards.Minion@50ad0317
__REPORT__ | @ 2020-08-09T20:25:51.985045400 | Message: Input: P1Hand, Index: 3
__REPORT__ | @ 2020-08-09T20:25:51.985045400 | Message: Input: P1Hand, Index: 3
__REPORT__ | @ 2020-08-09T20:25:53.842445700 | Message: Clicked On Point: java.awt.Point[x=614,y=27], P1Board
__REPORT__ | @ 2020-08-09T20:25:53.846286400 | Message: Input: P1Board, Index: 4
__REPORT__ | @ 2020-08-09T20:25:53.846286400 | Message: Input: P1Board, Index: 4
__EFFECTS VISITED__ | @ 2020-08-09T20:25:53.846286400 | Message: Effect: ChangeAbility{addedAbilities=[RUSH], removedAbilities=[], sourcePlayerIndex=1, filter=CardFilter{selectingCardMethod=RECENTLY_PLAYED_CARD, cardGroup=null, type=null, cardClass=null, sourceCard=null}}, on Models: [models.cards.Minion@3a2a6ff0]
__EFFECTS VISITED__ | @ 2020-08-09T20:25:53.846286400 | Message: Effect: ChangeHpAttack{life=-1, attack=0, targetHP=null, targetAttack=null, sourcePlayerIndex=2, filter=CardFilter{selectingCardMethod=RECENTLY_PLAYED_CARD, cardGroup=null, type=null, cardClass=null, sourceCard=null}}, on Models: [models.cards.Minion@3a2a6ff0]
__CARD PLAYED__ | @ 2020-08-09T20:25:53.846286400 | Message: Lightwarden
__CARD PLAYED__ | @ 2020-08-09T20:25:53.846286400 | Message: Lightwarden
__REPORT__ | @ 2020-08-09T20:26:02.506899700 | Message: Clicked On Point: java.awt.Point[x=630,y=82], P1Board
__REPORT__ | @ 2020-08-09T20:26:02.508988400 | Message: Input: P1Board, Index: 4
__REPORT__ | @ 2020-08-09T20:26:02.508988400 | Message: Input: P1Board, Index: 4
__REPORT__ | @ 2020-08-09T20:26:03.254726 | Message: Clicked On Point: java.awt.Point[x=100,y=115], P2Hero
__REPORT__ | @ 2020-08-09T20:26:03.262762900 | Message: Input: P2Hero, Index: -1
__REPORT__ | @ 2020-08-09T20:26:03.262762900 | Message: Input: P2Hero, Index: -1
__GAME REPORT__ | @ 2020-08-09T20:26:05.441150900 | Message: Draw Card -> Sprint
__GAME REPORT__ | @ 2020-08-09T20:26:05.441150900 | Message: Draw Card -> Sprint
__GAME REPORT__ | @ 2020-08-09T20:26:05.441150900 | Message: Turn Begins
__GAME REPORT__ | @ 2020-08-09T20:26:05.441150900 | Message: Turn Begins
__GAME REPORT__ | @ 2020-08-09T20:26:05.604077500 | Message: Turn Ended.
__GAME REPORT__ | @ 2020-08-09T20:26:05.604077500 | Message: Turn Ended.
__REPORT__ | @ 2020-08-09T20:26:08.689119400 | Message: Clicked On Point: java.awt.Point[x=431,y=87], P2Hand
__REPORT__ | @ 2020-08-09T20:26:08.689119400 | Message: Showing Card Chooser
__REPORT__ | @ 2020-08-09T20:26:09.714697400 | Message: Selected -> models.cards.Spell@3cdbb9b2
__REPORT__ | @ 2020-08-09T20:26:09.719366800 | Message: Input: P2Hand, Index: 0
__REPORT__ | @ 2020-08-09T20:26:09.719366800 | Message: Input: P2Hand, Index: 0
__EFFECTS VISITED__ | @ 2020-08-09T20:26:09.719366800 | Message: Effect: ChangeHpAttack{life=-1, attack=0, targetHP=null, targetAttack=null, sourcePlayerIndex=2, filter=CardFilter{selectingCardMethod=ONE_RANDOM, cardGroup=ENEMY, type=null, cardClass=null, sourceCard=null}}, on Models: [models.heroes.Hunter@726057b6]
__EFFECTS VISITED__ | @ 2020-08-09T20:26:09.719366800 | Message: Effect: ChangeHpAttack{life=-1, attack=0, targetHP=null, targetAttack=null, sourcePlayerIndex=2, filter=CardFilter{selectingCardMethod=ONE_RANDOM, cardGroup=ENEMY, type=null, cardClass=null, sourceCard=null}}, on Models: [models.heroes.Hunter@726057b6]
__EFFECTS VISITED__ | @ 2020-08-09T20:26:09.719366800 | Message: Effect: ChangeHpAttack{life=-1, attack=0, targetHP=null, targetAttack=null, sourcePlayerIndex=2, filter=CardFilter{selectingCardMethod=ONE_RANDOM, cardGroup=ENEMY, type=null, cardClass=null, sourceCard=null}}, on Models: [models.heroes.Hunter@726057b6]
__CARD PLAYED__ | @ 2020-08-09T20:26:09.720359900 | Message: Arcane Missiles
__CARD PLAYED__ | @ 2020-08-09T20:26:09.720359900 | Message: Arcane Missiles
__GAME REPORT__ | @ 2020-08-09T20:26:13.659690700 | Message: Draw Card -> Book of specters
__GAME REPORT__ | @ 2020-08-09T20:26:13.660951500 | Message: Draw Card -> Book of specters
__GAME REPORT__ | @ 2020-08-09T20:26:13.661017100 | Message: Turn Begins
__GAME REPORT__ | @ 2020-08-09T20:26:13.661017100 | Message: Turn Begins
__GAME REPORT__ | @ 2020-08-09T20:26:13.838668400 | Message: Turn Ended.
__GAME REPORT__ | @ 2020-08-09T20:26:13.838668400 | Message: Turn Ended.
__REPORT__ | @ 2020-08-09T20:26:14.758795800 | Message: Clicked On Point: java.awt.Point[x=412,y=13], P1Hand
__REPORT__ | @ 2020-08-09T20:26:14.758795800 | Message: Showing Card Chooser
__REPORT__ | @ 2020-08-09T20:26:16.132936800 | Message: Selected -> models.cards.Minion@5c6f5b97
__REPORT__ | @ 2020-08-09T20:26:16.135961600 | Message: Input: P1Hand, Index: 0
__REPORT__ | @ 2020-08-09T20:26:16.135961600 | Message: Input: P1Hand, Index: 0
__REPORT__ | @ 2020-08-09T20:26:16.998674500 | Message: Clicked On Point: java.awt.Point[x=354,y=34], P1Board
__REPORT__ | @ 2020-08-09T20:26:17.013397 | Message: Input: P1Board, Index: 2
__REPORT__ | @ 2020-08-09T20:26:17.013397 | Message: Input: P1Board, Index: 2
__EFFECTS VISITED__ | @ 2020-08-09T20:26:17.013397 | Message: Effect: ChangeAbility{addedAbilities=[RUSH], removedAbilities=[], sourcePlayerIndex=1, filter=CardFilter{selectingCardMethod=RECENTLY_PLAYED_CARD, cardGroup=null, type=null, cardClass=null, sourceCard=null}}, on Models: [models.cards.Minion@14dce4b4]
__EFFECTS VISITED__ | @ 2020-08-09T20:26:17.013397 | Message: Effect: ChangeHpAttack{life=-1, attack=0, targetHP=null, targetAttack=null, sourcePlayerIndex=2, filter=CardFilter{selectingCardMethod=RECENTLY_PLAYED_CARD, cardGroup=null, type=null, cardClass=null, sourceCard=null}}, on Models: [models.cards.Minion@14dce4b4]
__CARD PLAYED__ | @ 2020-08-09T20:26:17.014504700 | Message: Ironfur Grizzly
__CARD PLAYED__ | @ 2020-08-09T20:26:17.014504700 | Message: Ironfur Grizzly
__REPORT__ | @ 2020-08-09T20:26:21.889724 | Message: Clicked On Point: java.awt.Point[x=649,y=38], P1Board
__REPORT__ | @ 2020-08-09T20:26:21.897081100 | Message: Input: P1Board, Index: 4
__REPORT__ | @ 2020-08-09T20:26:21.897081100 | Message: Input: P1Board, Index: 4
__REPORT__ | @ 2020-08-09T20:26:24.076153600 | Message: Clicked On Point: java.awt.Point[x=89,y=47], P2Hero
__REPORT__ | @ 2020-08-09T20:26:24.077974200 | Message: Input: P2Hero, Index: -1
__REPORT__ | @ 2020-08-09T20:26:24.077974200 | Message: Input: P2Hero, Index: -1
__ATTACK__ | @ 2020-08-09T20:26:24.077974200 | Message: Lightwarden Attacked -> Hunter
__ATTACK__ | @ 2020-08-09T20:26:24.077974200 | Message: Lightwarden Attacked -> Hunter
__GAME REPORT__ | @ 2020-08-09T20:26:26.257845900 | Message: Draw Card -> Sprint
__GAME REPORT__ | @ 2020-08-09T20:26:26.272975300 | Message: Draw Card -> Sprint
__GAME REPORT__ | @ 2020-08-09T20:26:26.272975300 | Message: Turn Begins
__GAME REPORT__ | @ 2020-08-09T20:26:26.272975300 | Message: Turn Begins
__GAME REPORT__ | @ 2020-08-09T20:26:26.460064400 | Message: Turn Ended.
__GAME REPORT__ | @ 2020-08-09T20:26:26.460064400 | Message: Turn Ended.
__REPORT__ | @ 2020-08-09T20:26:28.354156700 | Message: Clicked On Point: java.awt.Point[x=481,y=82], P2Hand
__REPORT__ | @ 2020-08-09T20:26:28.354156700 | Message: Showing Card Chooser
__REPORT__ | @ 2020-08-09T20:26:30.504159300 | Message: Selected -> models.cards.Spell@513f8d0c
__REPORT__ | @ 2020-08-09T20:26:30.506399 | Message: Input: P2Hand, Index: 2
__REPORT__ | @ 2020-08-09T20:26:30.506399 | Message: Input: P2Hand, Index: 2
__GAME REPORT__ | @ 2020-08-09T20:26:32.440559600 | Message: Draw Card -> Arcane Missiles
__GAME REPORT__ | @ 2020-08-09T20:26:32.440559600 | Message: Draw Card -> Arcane Missiles
__GAME REPORT__ | @ 2020-08-09T20:26:32.440559600 | Message: Turn Begins
__GAME REPORT__ | @ 2020-08-09T20:26:32.440559600 | Message: Turn Begins
__GAME REPORT__ | @ 2020-08-09T20:26:32.611521500 | Message: Turn Ended.
__GAME REPORT__ | @ 2020-08-09T20:26:32.611521500 | Message: Turn Ended.
__REPORT__ | @ 2020-08-09T20:26:35.517969900 | Message: Clicked On Point: java.awt.Point[x=471,y=28], P1Hand
__REPORT__ | @ 2020-08-09T20:26:35.517969900 | Message: Showing Card Chooser
__REPORT__ | @ 2020-08-09T20:26:41.160933600 | Message: Selected -> models.cards.Spell@51bfcd87
__REPORT__ | @ 2020-08-09T20:26:41.163817700 | Message: Input: P1Hand, Index: 3
__REPORT__ | @ 2020-08-09T20:26:41.163817700 | Message: Input: P1Hand, Index: 3
__EFFECTS VISITED__ | @ 2020-08-09T20:26:41.163817700 | Message: Effect: ChangeHpAttack{life=-1, attack=0, targetHP=null, targetAttack=null, sourcePlayerIndex=1, filter=CardFilter{selectingCardMethod=ONE_RANDOM, cardGroup=ENEMY, type=null, cardClass=null, sourceCard=null}}, on Models: [models.heroes.Hunter@4a1850f9]
__EFFECTS VISITED__ | @ 2020-08-09T20:26:41.164823800 | Message: Effect: ChangeHpAttack{life=-1, attack=0, targetHP=null, targetAttack=null, sourcePlayerIndex=1, filter=CardFilter{selectingCardMethod=ONE_RANDOM, cardGroup=ENEMY, type=null, cardClass=null, sourceCard=null}}, on Models: [models.heroes.Hunter@4a1850f9]
__EFFECTS VISITED__ | @ 2020-08-09T20:26:41.164823800 | Message: Effect: ChangeHpAttack{life=-1, attack=0, targetHP=null, targetAttack=null, sourcePlayerIndex=1, filter=CardFilter{selectingCardMethod=ONE_RANDOM, cardGroup=ENEMY, type=null, cardClass=null, sourceCard=null}}, on Models: [models.heroes.Hunter@4a1850f9]
__CARD PLAYED__ | @ 2020-08-09T20:26:41.164823800 | Message: Arcane Missiles
__CARD PLAYED__ | @ 2020-08-09T20:26:41.164823800 | Message: Arcane Missiles
__REPORT__ | @ 2020-08-09T20:26:43.112308500 | Message: Clicked On Point: java.awt.Point[x=372,y=65], P1Board
__REPORT__ | @ 2020-08-09T20:26:43.120672100 | Message: Input: P1Board, Index: 2
__REPORT__ | @ 2020-08-09T20:26:43.120672100 | Message: Input: P1Board, Index: 2
__REPORT__ | @ 2020-08-09T20:26:43.697961500 | Message: Clicked On Point: java.awt.Point[x=52,y=100], P2Hero
__REPORT__ | @ 2020-08-09T20:26:43.714559400 | Message: Input: P2Hero, Index: -1
__REPORT__ | @ 2020-08-09T20:26:43.714559400 | Message: Input: P2Hero, Index: -1
__ATTACK__ | @ 2020-08-09T20:26:43.714559400 | Message: Ironfur Grizzly Attacked -> Hunter
__ATTACK__ | @ 2020-08-09T20:26:43.715556200 | Message: Ironfur Grizzly Attacked -> Hunter
__REPORT__ | @ 2020-08-09T20:26:45.726175800 | Message: Clicked On Point: java.awt.Point[x=601,y=65], P1Board
__REPORT__ | @ 2020-08-09T20:26:45.733367500 | Message: Input: P1Board, Index: 4
__REPORT__ | @ 2020-08-09T20:26:45.733367500 | Message: Input: P1Board, Index: 4
__REPORT__ | @ 2020-08-09T20:26:46.501706200 | Message: Clicked On Point: java.awt.Point[x=60,y=73], P2Hero
__REPORT__ | @ 2020-08-09T20:26:46.503527800 | Message: Input: P2Hero, Index: -1
__REPORT__ | @ 2020-08-09T20:26:46.503527800 | Message: Input: P2Hero, Index: -1
__ATTACK__ | @ 2020-08-09T20:26:46.503527800 | Message: Lightwarden Attacked -> Hunter
__ATTACK__ | @ 2020-08-09T20:26:46.503527800 | Message: Lightwarden Attacked -> Hunter
__GAME REPORT__ | @ 2020-08-09T20:26:47.492599500 | Message: Draw Card -> Ironfur Grizzly
__GAME REPORT__ | @ 2020-08-09T20:26:47.492599500 | Message: Draw Card -> Ironfur Grizzly
__GAME REPORT__ | @ 2020-08-09T20:26:47.492599500 | Message: Turn Begins
__GAME REPORT__ | @ 2020-08-09T20:26:47.492599500 | Message: Turn Begins
__GAME REPORT__ | @ 2020-08-09T20:26:47.709350900 | Message: Turn Ended.
__GAME REPORT__ | @ 2020-08-09T20:26:47.709350900 | Message: Turn Ended.
__REPORT__ | @ 2020-08-09T20:26:54.261532900 | Message: Clicked On Point: java.awt.Point[x=436,y=102], P2Hand
__REPORT__ | @ 2020-08-09T20:26:54.261532900 | Message: Showing Card Chooser
__REPORT__ | @ 2020-08-09T20:26:55.428812800 | Message: Selected -> models.cards.Minion@58758ae8
__REPORT__ | @ 2020-08-09T20:26:55.431798200 | Message: Input: P2Hand, Index: 4
__REPORT__ | @ 2020-08-09T20:26:55.431969800 | Message: Input: P2Hand, Index: 4
__REPORT__ | @ 2020-08-09T20:26:56.274648400 | Message: Clicked On Point: java.awt.Point[x=717,y=44], P2Board
__REPORT__ | @ 2020-08-09T20:26:56.278121100 | Message: Input: P2Board, Index: 5
__REPORT__ | @ 2020-08-09T20:26:56.278121100 | Message: Input: P2Board, Index: 5
__EFFECTS VISITED__ | @ 2020-08-09T20:26:56.278121100 | Message: Effect: ChangeAbility{addedAbilities=[RUSH], removedAbilities=[], sourcePlayerIndex=2, filter=CardFilter{selectingCardMethod=RECENTLY_PLAYED_CARD, cardGroup=null, type=null, cardClass=null, sourceCard=null}}, on Models: [models.cards.Minion@1ee8d7b2]
__EFFECTS VISITED__ | @ 2020-08-09T20:26:56.278121100 | Message: Effect: ChangeHpAttack{life=-1, attack=0, targetHP=null, targetAttack=null, sourcePlayerIndex=1, filter=CardFilter{selectingCardMethod=RECENTLY_PLAYED_CARD, cardGroup=null, type=null, cardClass=null, sourceCard=null}}, on Models: [models.cards.Minion@1ee8d7b2]
__CARD PLAYED__ | @ 2020-08-09T20:26:56.278121100 | Message: Ironfur Grizzly
__CARD PLAYED__ | @ 2020-08-09T20:26:56.278121100 | Message: Ironfur Grizzly
__GAME REPORT__ | @ 2020-08-09T20:27:05.844570500 | Message: Draw Card -> Sprint
__GAME REPORT__ | @ 2020-08-09T20:27:05.844570500 | Message: Draw Card -> Sprint
__GAME REPORT__ | @ 2020-08-09T20:27:05.844570500 | Message: Turn Begins
__GAME REPORT__ | @ 2020-08-09T20:27:05.844570500 | Message: Turn Begins
__GAME REPORT__ | @ 2020-08-09T20:27:06.142985 | Message: Turn Ended.
__GAME REPORT__ | @ 2020-08-09T20:27:06.142985 | Message: Turn Ended.
__REPORT__ | @ 2020-08-09T20:27:07.348320100 | Message: Clicked On Point: java.awt.Point[x=425,y=25], P1Hand
__REPORT__ | @ 2020-08-09T20:27:07.348320100 | Message: Showing Card Chooser
__REPORT__ | @ 2020-08-09T20:27:10.232206 | Message: Selected -> null
__REPORT__ | @ 2020-08-09T20:27:11.755396300 | Message: Clicked On Point: java.awt.Point[x=363,y=58], P1Board
__REPORT__ | @ 2020-08-09T20:27:11.757123400 | Message: Input: P1Board, Index: 2
__REPORT__ | @ 2020-08-09T20:27:11.757123400 | Message: Input: P1Board, Index: 2
__REPORT__ | @ 2020-08-09T20:27:12.667783 | Message: Clicked On Point: java.awt.Point[x=74,y=34], P2Hero
__REPORT__ | @ 2020-08-09T20:27:12.672566200 | Message: Input: P2Hero, Index: -1
__REPORT__ | @ 2020-08-09T20:27:12.673535100 | Message: Input: P2Hero, Index: -1
__REPORT__ | @ 2020-08-09T20:27:14.429805200 | Message: Clicked On Point: java.awt.Point[x=367,y=41], P1Board
__REPORT__ | @ 2020-08-09T20:27:14.446228100 | Message: Input: P1Board, Index: 2
